"artist","bdp","bdp_s","beg","beg_s","bsp","bsp_s","cdp","cdp_s","csp","csp_s","ddp","ddp_s","dsp","dsp_s","edp","edp_s","esp","esp_s","konami_id","sa4_id","title"
"Togo Project feat. Sana","3","0","3","0","4","0","-1","0","-1","0","6","0","6","0","10","0","9","0","i9DPi1Do9qoIQid09o1oilodPlDP6doO","125","Miracle Moon 〜L.E.D.LIGHT STYLE MIX〜"
"270","9","0","4","0","9","0","-1","0","-1","0","11","0","11","0","15","0","15","0","O9Id8Qi6OIDIQ6bPi610q0001l1P099q","126","PARANOIA survivor"
"290","9","0","5","0","9","0","16","0","16","0","11","0","11","0","15","0","15","0","68iQ9666QIQP1IOQbbd9989DQQ1D0dOl","127","PARANOIA survivor MAX"
"Kiyommy+Seiya","4","0","3","0","4","0","-1","0","-1","0","7","0","6","0","10","0","10","0","O09lbd0I8D0DI08O06l6iiI0i11I1iIb","128","Pink Rose"
"Caramel.S","4","0","3","0","4","0","-1","0","-1","0","7","0","7","0","9","0","9","0","D06P88iOlIdbbQ1Qd8OOI11dQoq0iOqd","129","SO IN LOVE"
"emi","5","0","3","0","4","0","-1","0","-1","0","7","0","7","0","9","0","9","0","6lqoOddiPQ6D6160bOdP116bQdIliII8","130","STAY (Organic house Version)"
"TaQ","4","0","3","0","5","0","-1","0","-1","0","10","0","9","0","12","0","13","0","OoIPPqIDbQ6qIb69q8dil0iq0l6q6DQD","131","stoic (EXTREME version)"
"OutPhase","6","0","3","0","5","0","11","0","12","0","9","0","8","0","10","0","9","0","8lo1IDqPDD88DObIPodOd8oQ0Q6qQ1Dd","132","sync (EXTREME version)"
"NAOKI underground feat.EK","6","0","3","0","6","0","-1","0","-1","0","8","0","8","0","12","0","12","0","1Q1Q8oO600lodPbio8b8d66b8do1PIlQ","133","TEARS"
"Hirofumi Sasaki","7","0","5","0","7","0","-1","0","-1","0","10","0","11","0","14","0","12","0","lO68Q0iPIOiOIDDd8dOPoiql9OI81DQ0","134","The Least 100sec"
"ZZ","8","0","7","0","8","0","-1","0","-1","0","12","0","13","0","16","0","15","0","li608di8PolqqIP808iddOqi11qDDq0Q","135","The legend of MAX"
"DE-SIRE","6","0","4","0","5","0","-1","0","-1","0","11","0","11","0","12","0","13","0","POO9PlPq66OqIQO6Oq1i90D6Ill100il","136","TRIP MACHINE survivor"
"FinalOffset","4","0","3","0","5","0","-1","0","-1","0","7","0","8","0","11","0","11","0","0l181DPDqbQPb0qQl0i0dlQd0oQPlQ6i","137","Twin Bee -Generation X-"
"TAKA","5","0","3","0","5","0","13","0","13","0","7","0","8","0","11","0","12","0","Ilo6IboPOq8Q10qDOdDDoO6P989bPPi6","138","V 〜for EXTREME〜"
"FIXX","5","0","3","0","4","0","-1","0","-1","0","9","0","9","0","12","0","12","0","DDqDDqDQ1Db60IiIDbIl6Pd8DPOq0q06","139","VANITY ANGEL"
"Mr.T","5","0","3","0","5","0","-1","0","-1","0","9","0","10","0","13","0","13","0","bDDd08iP8dlIlOo6iqd91dPiI1lQdOQq","140","xenon"
"RevenG","7","0","5","0","7","0","11","0","11","0","11","0","11","0","13","0","13","0","911lId0IooIOq1oDPoQ0iQiDiOIbd6oo","141","桜"
"亜熱帯マジ-SKA爆弾","5","0","4","0","5","0","-1","0","-1","0","9","0","8","0","13","0","12","0","Dl69Pb9OQDlbOi80OQdIObiQ1Q08Dlqo","142","三毛猫ロック"
"NAOKI feat.YUKI","4","0","2","0","4","0","-1","0","-1","0","6","0","6","0","11","0","9","0","OboID1PloIIoOOObQdQOP110I61Ddl9I","143","蒼い衝動 〜for EXTREME〜"
